post_text,post_like,post_view,post_comment,post_id,timestamp,post_share,username,tag
this is test text,89,193,0,2724831900872986,1561248000,0,K14vn,animal
this is test text,179,402,1,2724275024262007,1561246200,11,K14vn,furniture
this is test text,21,762,0,2724283054261204,1561244401,0,K14vn,person
this is test text,277,252,5,2724946140861562,1561231800,1,K14vn,animal
this is test text,68,768,2,2724910310865145,1561230900,1,K14vn,person
this is test text,336,668,30,2724974984192011,1561230000,37,K14vn,furniture
this is test text,10,105,0,2724279500928226,1561229100,0,K14vn,animal
this is test text,36,25,0,2724174297605413,1561228200,1,K14vn,person
this is test text,147,133,7,2724824364207073,1561227300,49,K14vn,person
this is test text,433,557,2,2724780847544758,1561224600,2,K14vn,furniture
this is test text,231,119,0,2724785337544309,1561223700,1,K14vn,person
this is test text,164,75,34,2724791567543686,1561222800,8,K14vn,furniture
this is test text,3672,724,142,2724455510910625,1561221900,58,K14vn,computer
this is test text,560,19,31,2724942380861938,1561221158,10,K14vn,animal
this is test text,2846,993,1165,2724468744242635,1561220120,610,K14vn,animal
this is test text,413,424,6,2724897950866381,1561219206,1,K14vn,furniture
this is test text,462,382,4,2724480120908164,1561219201,15,K14vn,computer
this is test text,42,433,1,2724842227538620,1561218314,2,K14vn,computer
this is test text,678,681,10,2724840900872086,1561217406,7,K14vn,person
this is test text,78,955,0,2724246610931515,1561216543,3,K14vn,person
this is test text,295,987,9,2724775790878597,1561215761,0,K14vn,computer
this is test text,1758,147,2124,2724467290909447,1561214827,64,K14vn,person
this is test text,801,410,40,2724249464264563,1561213800,92,K14vn,person
this is test text,636,233,40,2724714670884709,1561212527,18,K14vn,animal
this is test text,42,227,0,2724597507563092,1561212072,0,K14vn,animal
this is test text,37,968,0,2724272894262220,1561211100,4,K14vn,computer
this is test text,1438,590,327,2724600220896154,1561210282,80,K14vn,furniture
this is test text,426,246,1,2724592124230297,1561209433,3,K14vn,person
this is test text,309,311,3,2724308114258698,1561208400,6,K14vn,person
this is test text,3024,357,294,2724486100907566,1561207336,100,K14vn,person
this is test text,295,973,17,2724546160901560,1561206254,9,K14vn,furniture
this is test text,307,705,11,2723811707641672,1561204801,1,K14vn,animal
this is test text,1817,443,402,2724461837576659,1561203900,829,K14vn,animal
this is test text,425,675,5,2724235764265933,1561203000,7,K14vn,computer
this is test text,211,132,3,2724449510911225,1561202130,0,K14vn,furniture
this is test text,350,962,15,2724428857579957,1561201211,90,K14vn,person
this is test text,2157,803,101,2724413934248116,1561200502,18,K14vn,person
this is test text,244,225,3,2724392387583604,1561199500,0,K14vn,animal
this is test text,408,361,12,2724368720919304,1561198523,0,K14vn,computer
this is test text,286,35,19,2724349470921229,1561197625,4,K14vn,computer
this is test text,156,367,0,2724274307595412,1561197600,1,K14vn,person
this is test text,341,556,71,2720126064676903,1561196785,17,K14vn,furniture
this is test text,401,212,11,2724307164258793,1561195812,2,K14vn,person
this is test text,499,513,7,2724293164260193,1561194947,5,K14vn,person
